NAME,B01003_001E,B17001_001E,B17001_002E,state,county,geoid,pctpov
"Jefferson County, Mississippi",7346,6874.0,3418.0,28,063,28063,49.72359615944137
"Holmes County, Mississippi",18075,17358.0,7565.0,28,051,28051,43.582209932019815
"Jackson County, South Dakota",3287,3190.0,1523.0,46,071,46071,47.742946708463954
"Corson County, South Dakota",4168,4151.0,1837.0,46,031,46031,44.2543965309564
"Mellette County, South Dakota",2055,1997.0,965.0,46,095,46095,48.322483725588384
"Oglala Lakota County, South Dakota",14335,14176.0,6992.0,46,102,46102,49.32279909706546
"East Carroll Parish, Louisiana",7225,4602.0,2238.0,22,035,22035,48.63102998696219
"Perry County, Alabama",9486,8661.0,3616.0,01,105,01105,41.750375245352735
"Todd County, South Dakota",10146,9948.0,5481.0,46,121,46121,55.09650180940893
"Claiborne County, Mississippi",9120,8397.0,3698.0,28,021,28021,44.03953793021317
